cell_id	gene_symbol	expression_value
cell_001	APOE	1.1
cell_001	TREM2	0.8
cell_001	GFAP	0.1
cell_001	SLC17A7	0.0
cell_001	SNCA	0.2
cell_002	APOE	0.7
cell_002	TREM2	0.1
cell_002	GFAP	1.0
cell_002	SLC17A7	0.0
cell_002	SNCA	0.1
cell_003	APOE	0.2
cell_003	TREM2	0.0
cell_003	GFAP	0.0
cell_003	SLC17A7	2.4
cell_003	SNCA	0.6
cell_004	APOE	1.0
cell_004	TREM2	0.7
cell_004	GFAP	0.1
cell_004	SLC17A7	0.0
cell_004	SNCA	0.3
cell_005	APOE	0.8
cell_005	TREM2	0.1
cell_005	GFAP	1.1
cell_005	SLC17A7	0.0
cell_005	SNCA	0.1
cell_006	APOE	0.2
cell_006	TREM2	0.0
cell_006	GFAP	0.0
cell_006	SLC17A7	2.2
cell_006	SNCA	0.6
cell_007	APOE	1.9
cell_007	TREM2	2.2
cell_007	GFAP	0.2
cell_007	SLC17A7	0.0
cell_007	SNCA	0.9
cell_008	APOE	1.4
cell_008	TREM2	0.2
cell_008	GFAP	2.5
cell_008	SLC17A7	0.0
cell_008	SNCA	0.4
cell_009	APOE	0.5
cell_009	TREM2	0.0
cell_009	GFAP	0.1
cell_009	SLC17A7	1.4
cell_009	SNCA	1.3
cell_010	APOE	2.0
cell_010	TREM2	2.4
cell_010	GFAP	0.2
cell_010	SLC17A7	0.0
cell_010	SNCA	1.0
cell_011	APOE	1.5
cell_011	TREM2	0.3
cell_011	GFAP	2.7
cell_011	SLC17A7	0.0
cell_011	SNCA	0.5
cell_012	APOE	0.6
cell_012	TREM2	0.1
cell_012	GFAP	0.2
cell_012	SLC17A7	1.3
cell_012	SNCA	1.4
