platform_id	probe_id	gene_symbol	source_gene_field	multi_probe_gene	mapping_status
GPL570	1554018_at	GPNMB	Gene symbol	true	neurofate_axis_probe
GPL570	1554544_a_at	MBP	Gene symbol	true	neurofate_axis_probe
GPL570	1559206_at	PSEN1	Gene symbol	true	neurofate_axis_probe
GPL570	1567440_at	PSEN1	Gene symbol	true	neurofate_axis_probe
GPL570	1567443_x_at	PSEN1	Gene symbol	true	neurofate_axis_probe
GPL570	1568934_at	CX3CR1	Gene symbol	true	neurofate_axis_probe
GPL570	200602_at	APP	Gene symbol	true	neurofate_axis_probe
GPL570	201141_at	GPNMB	Gene symbol	true	neurofate_axis_probe
GPL570	201891_s_at	B2M	Gene symbol	true	neurofate_axis_probe
GPL570	203381_s_at	APOE	Gene symbol	true	neurofate_axis_probe
GPL570	203382_s_at	APOE	Gene symbol	true	neurofate_axis_probe
GPL570	203460_s_at	PSEN1	Gene symbol	true	neurofate_axis_probe
GPL570	203539_s_at	GFAP	Gene symbol	true	neurofate_axis_probe
GPL570	203540_at	GFAP	Gene symbol	true	neurofate_axis_probe
GPL570	203928_x_at	MAPT	Gene symbol	true	neurofate_axis_probe
GPL570	203929_s_at	MAPT	Gene symbol	true	neurofate_axis_probe
GPL570	203930_s_at	MAPT	Gene symbol	true	neurofate_axis_probe
GPL570	204122_at	TYROBP	Gene symbol	false	neurofate_axis_probe
GPL570	204229_at	SLC17A7	Gene symbol	true	neurofate_axis_probe
GPL570	204230_s_at	SLC17A7	Gene symbol	true	neurofate_axis_probe
GPL570	204261_s_at	PSEN2	Gene symbol	true	neurofate_axis_probe
GPL570	204262_s_at	PSEN2	Gene symbol	true	neurofate_axis_probe
GPL570	204466_s_at	SNCA	Gene symbol	true	neurofate_axis_probe
GPL570	204467_s_at	SNCA	Gene symbol	true	neurofate_axis_probe
GPL570	205067_at	IL1B	Gene symbol	true	neurofate_axis_probe
GPL570	205113_at	NEFM	Gene symbol	true	neurofate_axis_probe
GPL570	205336_at	PVALB	Gene symbol	false	neurofate_axis_probe
