input_feature_id	mapped_gene_symbol	retained
1007_s_at		false
1053_at		false
117_at		false
121_at		false
1255_g_at		false
1294_at		false
1316_at		false
1320_at		false
1405_i_at		false
1431_at		false
1438_at		false
1487_at		false
1494_f_at		false
1552256_a_at		false
1552257_a_at		false
1552258_at		false
1552261_at		false
1552263_at		false
1552264_a_at		false
1552266_at		false
1552269_at		false
1552271_at		false
1552272_a_at		false
1552274_at		false
1552275_s_at		false
1552276_a_at		false
1552277_a_at		false
1552278_a_at		false
1552279_a_at		false
1552280_at		false
1552281_at		false
1552283_s_at		false
1552286_at		false
1552287_s_at		false
1552288_at		false
1552289_a_at		false
1552291_at		false
1552293_at		false
1552295_a_at		false
1552296_at		false
1552299_at		false
1552301_a_at		false
1552302_at		false
1552303_a_at		false
1552304_at		false
1552306_at		false
1552307_a_at		false
1552309_a_at		false
1552310_at		false
1552311_a_at		false
1552312_a_at		false
1552314_a_at		false
1552315_at		false
1552316_a_at		false
1552318_at		false
1552319_a_at		false
1552320_a_at		false
1552321_a_at		false
1552322_at		false
1552323_s_at		false
1552325_at		false
1552326_a_at		false
1552327_at		false
1552329_at		false
1552330_at		false
1552332_at		false
1552334_at		false
1552335_at		false
1552337_s_at		false
1552338_at		false
1552340_at		false
1552343_s_at		false
1552344_s_at		false
1552347_at		false
1552348_at		false
1552349_a_at		false
1552354_at		false
1552355_s_at		false
1552359_at		false
1552360_a_at		false
1552362_a_at		false
1552364_s_at		false
1552365_at		false
1552367_a_at		false
1552368_at		false
1552370_at		false
1552372_at		false
1552373_s_at		false
1552375_at		false
1552377_s_at		false
1552378_s_at		false
1552379_at		false
1552381_at		false
1552383_at		false
1552384_a_at		false
1552386_at		false
1552388_at		false
1552389_at		false
1552390_a_at		false
1552391_at		false
1552393_at		false
1552394_a_at		false
1552395_at		false
1552396_at		false
1552398_a_at		false
1552399_a_at		false
1552400_a_at		false
1552401_a_at		false
1552402_at		false
1552405_at		false
1552408_at		false
1552409_a_at		false
1552410_at		false
1552411_at		false
1552412_a_at		false
1552414_at		false
1552415_a_at		false
1552417_a_at		false
1552418_at		false
1552419_s_at		false
1552421_a_at		false
1552422_at		false
1552423_at		false
1552424_at		false
1552425_a_at		false
1552426_a_at		false
1552427_at		false
1552430_at		false
1552432_at		false
1552436_a_at		false
1552438_a_at		false
1552439_s_at		false
1552440_at		false
1552445_a_at		false
1552448_a_at		false
1552449_a_at		false
1552450_a_at		false
1552452_at		false
1552453_a_at		false
1552455_at		false
1552456_a_at		false
1552457_a_at		false
1552458_at		false
1552459_a_at		false
1552461_at		false
1552463_at		false
1552466_x_at		false
1552467_at		false
1552468_a_at		false
1552470_a_at		false
1552472_a_at		false
1552473_at		false
1552474_a_at		false
1552476_s_at		false
1552477_a_at		false
1552478_a_at		false
1552480_s_at		false
1552481_s_at		false
1552482_at		false
1552484_at		false
1552485_at		false
1552486_s_at		false
1552487_a_at		false
1552489_s_at		false
1552490_at		false
1552491_at		false
1552493_s_at		false
1552494_at		false
1552496_a_at		false
1552497_a_at		false
1552498_at		false
1552499_a_at		false
1552501_a_at		false
1552502_s_at		false
1552503_at		false
1552504_a_at		false
1552506_at		false
1552507_at		false
1552508_at		false
1552509_a_at		false
1552510_at		false
1552511_a_at		false
1552514_at		false
1552515_at		false
1552516_a_at		false
1552518_s_at		false
1552519_at		false
1552520_at		false
1552521_a_at		false
1552522_at		false
1552523_a_at		false
1552524_at		false
1552526_at		false
1552528_at		false
1552531_a_at		false
1552532_a_at		false
1552535_at		false
1552536_at		false
1552538_a_at		false
1552540_s_at		false
1552541_at		false
1552542_s_at		false
1552543_a_at		false
1552544_at		false
1552546_a_at		false
1552548_at		false
1552549_a_at		false
1552552_s_at		false
1552553_a_at		false
1552554_a_at		false
1552555_at		false
1552557_a_at		false
1552558_a_at		false
1552559_a_at		false
1552562_at		false
1552563_a_at		false
1552564_at		false
1552566_at		false
1552568_at		false
1552569_a_at		false
1552570_at		false
1552572_a_at		false
1552573_s_at		false
1552575_a_at		false
1552576_at		false
1552578_a_at		false
1552579_a_at		false
1552580_at		false
1552582_at		false
1552583_s_at		false
1552584_at		false
1552585_s_at		false
1552586_at		false
1552587_at		false
1552588_a_at		false
1552590_a_at		false
1552592_at		false
1552594_at		false
1552596_at		false
1552598_at		false
1552599_at		false
1552602_at		false
1552604_at		false
1552605_s_at		false
1552607_at		false
1552608_at		false
1552609_s_at		false
1552610_a_at		false
1552611_a_at		false
1552612_at		false
1552613_s_at		false
1552615_at		false
1552616_a_at		false
1552617_a_at		false
1552618_at		false
1552619_a_at		false
1552620_at		false
1552621_at		false
1552622_s_at		false
1552623_at		false
1552625_a_at		false
1552626_a_at		false
1552627_a_at		false
1552628_a_at		false
1552629_a_at		false
1552630_a_at		false
1552631_a_at		false
1552632_a_at		false
1552633_at		false
1552634_a_at		false
1552637_at		false
1552639_at		false
1552641_s_at		false
1552643_at		false
1552644_a_at		false
1552646_at		false
1552648_a_at		false
1552649_a_at		false
1552651_a_at		false
1552652_at		false
1552656_s_at		false
1552657_a_at		false
1552658_a_at		false
1552660_a_at		false
1552661_at		false
1552662_a_at		false
1552663_a_at		false
1552664_at		false
1552665_at		false
1552666_a_at		false
1552667_a_at		false
1552669_at		false
1552670_a_at		false
1552671_a_at		false
1552672_a_at		false
1552673_at		false
1552674_at		false
1552675_at		false
1552676_at		false
1552677_a_at		false
1552678_a_at		false
1552680_a_at		false
1552682_a_at		false
1552684_a_at		false
1552685_a_at		false
1552686_at		false
1552687_a_at		false
1552689_at		false
1552690_a_at		false
1552691_at		false
1552693_at		false
1552694_at		false
1552695_a_at		false
1552696_at		false
1552698_at		false
1552701_a_at		false
1552703_s_at		false
1552705_at		false
1552708_a_at		false
1552711_a_at		false
1552712_a_at		false
1552713_a_at		false
1552714_at		false
1552715_a_at		false
1552716_at		false
1552717_s_at		false
1552718_at		false
1552719_at		false
1552721_a_at		false
1552722_at		false
1552724_at		false
1552725_s_at		false
1552726_at		false
1552727_s_at		false
1552729_at		false
1552730_at		false
1552731_at		false
1552732_at		false
1552733_at		false
1552734_at		false
1552735_at		false
1552736_a_at		false
1552737_s_at		false
1552738_a_at		false
1552739_s_at		false
1552740_at		false
1552742_at		false
1552743_at		false
1552745_at		false
1552747_a_at		false
1552749_a_at		false
1552750_at		false
1552751_a_at		false
1552752_a_at		false
1552754_a_at		false
1552755_at		false
1552757_s_at		false
1552758_at		false
1552760_at		false
1552761_at		false
1552763_at		false
1552765_x_at		false
1552766_at		false
1552767_a_at		false
1552768_at		false
1552769_at		false
1552770_s_at		false
1552771_a_at		false
1552772_at		false
1552773_at		false
1552774_a_at		false
1552775_at		false
1552777_a_at		false
1552779_a_at		false
1552782_at		false
1552783_at		false
1552785_at		false
1552787_at		false
1552788_a_at		false
1552789_at		false
1552790_a_at		false
1552791_a_at		false
1552792_at		false
1552793_at		false
1552794_a_at		false
1552796_a_at		false
1552797_s_at		false
1552798_a_at		false
1552799_at		false
1552800_at		false
1552801_at		false
1552803_a_at		false
1552804_a_at		false
1552806_a_at		false
1552807_a_at		false
1552808_at		false
1552809_at		false
1552811_at		false
1552812_a_at		false
1552813_at		false
1552814_a_at		false
1552816_at		false
1552818_a_at		false
1552819_at		false
1552822_at		false
1552825_at		false
1552826_at		false
1552827_s_at		false
1552828_at		false
1552829_at		false
1552830_at		false
1552833_at		false
1552834_at		false
1552835_at		false
1552836_at		false
1552837_at		false
1552839_at		false
1552841_s_at		false
1552842_at		false
1552843_at		false
1552845_at		false
1552846_s_at		false
1552848_a_at		false
1552849_at		false
1552851_at		false
1552852_a_at		false
1552853_at		false
1552854_a_at		false
1552856_at		false
1552857_a_at		false
1552858_at		false
1552860_at		false
1552862_at		false
1552863_a_at		false
1552865_a_at		false
1552867_at		false
1552868_at		false
1552870_s_at		false
1552872_at		false
1552873_s_at		false
1552875_a_at		false
1552876_at		false
1552877_s_at		false
1552878_at		false
1552879_a_at		false
1552880_at		false
1552882_a_at		false
1552884_at		false
1552885_a_at		false
1552887_at		false
1552889_a_at		false
1552890_a_at		false
1552892_at		false
1552893_at		false
1552895_a_at		false
1552897_a_at		false
1552898_a_at		false
1552899_at		false
1552900_a_at		false
1552902_a_at		false
1552903_at		false
1552904_at		false
1552906_at		false
1552908_at		false
1552910_at		false
1552911_at		false
1552912_a_at		false
1552913_at		false
1552914_a_at		false
1552915_at		false
1552917_at		false
1552919_at		false
1552921_a_at		false
1552922_at		false
1552923_a_at		false
1552924_a_at		false
1552925_at		false
1552927_at		false
1552928_s_at		false
1552929_at		false
1552930_at		false
1552931_a_at		false
1552932_at		false
1552933_at		false
1552935_at		false
1552937_s_at		false
1552938_at		false
1552939_at		false
1552940_at		false
1552942_at		false
1552943_at		false
1552944_a_at		false
1552946_at		false
1552947_x_at		false
1552948_at		false
1552950_at		false
1552952_at		false
1552953_a_at		false
1552954_at		false
1552955_at		false
1552957_at		false
1552960_at		false
1552961_at		false
1552964_at		false
1552965_a_at		false
1552967_at		false
1552969_a_at		false
1552970_s_at		false
1552971_at		false
1552972_at		false
1552973_at		false
1552974_at		false
1552975_x_at		false
1552976_at		false
1552977_a_at		false
1552978_a_at		false
1552979_at		false
1552980_at		false
1552982_a_at		false
1552985_at		false
1552986_at		false
1552987_a_at		false
1552988_at		false
1552990_at		false
1552991_at		false
1552993_at		false
1552995_at		false
1552997_a_at		false
1552998_at		false
1552999_a_at		false
1553002_at		false
1553003_at		false
1553004_at		false
1553006_at		false
1553007_a_at		false
1553009_s_at		false
1553011_at		false
1553013_at		false
1553015_a_at		false
1553016_at		false
1553019_at		false
1553020_at		false
1553021_s_at		false
1553022_at		false
1553023_a_at		false
1553024_at		false
1553025_at		false
1553027_a_at		false
1553028_at		false
1553030_a_at		false
1553031_at		false
1553032_at		false
1553033_at		false
1553034_at		false
1553036_at		false
1553037_a_at		false
1553039_a_at		false
1553041_at		false
1553042_a_at		false
1553043_a_at		false
1553044_at		false
1553045_at		false
1553046_s_at		false
1553047_at		false
1553048_a_at		false
1553051_s_at		false
1553052_at		false
1553053_at		false
1553055_a_at		false
1553057_at		false
1553058_at		false
1553059_at		false
1553060_at		false
1553061_at		false
1553062_at		false
1553063_at		false
1553064_at		false
1553066_at		false
1553067_a_at		false
1553069_at		false
1553070_a_at		false
1553071_a_at		false
1553072_at		false
1553074_at		false
1553075_a_at		false
1553076_at		false
1553077_at		false
1553078_at		false
1553079_at		false
1553080_at		false
1553081_at		false
1553082_at		false
1553083_at		false
1553084_at		false
1553086_at		false
1553087_at		false
1553088_a_at		false
1553089_a_at		false
1553093_a_at		false
