sample_id	label__endpoint	label	research_use_only	inflammatory_microglial_axis	astrocyte_stress_axis	myelin_oligodendrocyte_axis	neuronal_vulnerability_axis	synuclein_mitochondrial_axis	amyloid_tau_axis	immune_antigen_presentation_axis	vascular_barrier_axis	proteostasis_autophagy_axis	global_neurodegeneration_axis
GSM503950	0	0	true	262.118767	653.442520	5820.180396	5712.091556	4793.108694	4363.126367	1029.905953	977.273013	7123.639145	6083.081887
GSM503951	0	0	true	338.562172	383.951467	4704.405770	5476.464017	6560.207307	4300.553515	1086.796692	925.773691	8554.297433	6234.205925
GSM503952	0	0	true	540.518067	353.054560	877.005900	638.178639	979.890507	965.667104	385.045560	551.631440	1205.864828	778.954313
GSM503953	0	0	true	224.174488	969.522491	5603.747667	13958.244925	3995.831535	4097.861622	1610.099395	1495.571524	6279.279140	7579.762937
GSM503954	0	0	true	602.204311	628.303333	3027.565067	483.791817	900.094043	1282.258362	536.043957	792.579747	1751.629797	1412.285169
GSM503955	0	0	true	643.950117	1876.936333	24928.440193	1368.505473	1981.420247	4724.510594	1551.047667	1149.594867	5271.084956	7457.503107
GSM503956	0	0	true	296.789247	736.395937	20932.031378	216.004056	2054.888610	3215.585238	811.044518	1125.579823	4094.931161	5237.066006
GSM503957	0	0	true	436.150239	2111.720693	28636.999878	1571.473117	1857.095680	5428.268601	1439.005077	1355.057627	5547.595333	8382.942437
GSM503958	1	1	true	311.311117	443.107817	2682.569235	535.897617	889.900053	1998.320131	473.417390	634.050270	2054.445956	1417.415886
GSM503959	1	1	true	360.618417	413.391160	750.354171	502.242758	1392.579110	1162.245456	252.412243	443.807153	1975.340975	814.361670
GSM503960	1	1	true	496.785656	2389.714767	9598.952141	582.904481	1650.763890	3052.884447	911.089203	1427.596933	3124.362361	3730.083594
GSM503961	1	1	true	230.290278	2304.348007	14679.485596	7544.710486	1533.185287	4869.106967	1665.639350	1555.854340	4448.131628	7763.796778
GSM503962	1	1	true	272.953350	814.839300	5263.759779	327.375300	1251.292290	2439.434637	656.475137	749.925317	2686.315475	2169.145515
GSM503963	1	1	true	519.247044	2590.327740	7720.401152	357.857236	1701.459752	1672.146736	988.927870	893.277840	2008.269710	3106.790018
GSM503964	1	1	true	510.272418	2706.654130	6841.155470	349.798357	1677.477540	2791.919170	1182.134673	1215.352730	2825.474589	3229.316634
GSM503965	1	1	true	498.767176	2595.709200	5340.675200	4201.373808	5287.725866	7365.315509	1381.493383	1265.948227	9200.512666	6820.622730
GSM503966	1	1	true	565.739319	1719.807473	8518.180007	794.669422	1391.407150	3813.204789	1203.211512	1281.336307	4196.980764	3777.812330
GSM503967	1	1	true	612.333483	2007.052413	12942.887763	3327.992231	1503.069987	4895.273713	1148.518190	1217.120000	5349.961589	5966.430836
