sample_id	neurofate_research_risk_score	axis_count_used	research_use_only
GSM503950	3681.796830	10	true
GSM503951	3856.521799	10	true
GSM503952	727.581092	10	true
GSM503953	4581.409572	10	true
GSM503954	1141.675560	10	true
GSM503955	5095.299355	10	true
GSM503956	3872.031597	10	true
GSM503957	5676.630868	10	true
GSM503958	1144.043547	10	true
GSM503959	806.735311	10	true
GSM503960	2696.513747	10	true
GSM503961	4659.454872	10	true
GSM503962	1663.151610	10	true
GSM503963	2155.870510	10	true
GSM503964	2332.955571	10	true
GSM503965	4395.814377	10	true
GSM503966	2726.234907	10	true
GSM503967	3897.064021	10	true
