gene_symbol	ensembl_gene_id	alias_type	source_note
SNCA	ENSG00000145335	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
MAPT	ENSG00000186868	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
APP	ENSG00000142192	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
PSEN1	ENSG00000080815	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
PSEN2	ENSG00000143801	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
APOE	ENSG00000130203	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
TREM2	ENSG00000095970	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
TYROBP	ENSG00000011600	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
GFAP	ENSG00000131095	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
AIF1	ENSG00000204472	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
P2RY12	ENSG00000169313	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
GPNMB	ENSG00000136235	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
LAMP5	ENSG00000125869	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
SST	ENSG00000157005	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
PVALB	ENSG00000100362	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
SLC17A7	ENSG00000104888	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
MBP	ENSG00000197971	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
MOBP	ENSG00000168314	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
PLP1	ENSG00000123560	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
NEFL	ENSG00000104725	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
NEFM	ENSG00000104722	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
B2M	ENSG00000166710	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
HLA-DRA	ENSG00000204287	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
CX3CR1	ENSG00000168329	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
IL1B	ENSG00000125538	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
TNF	ENSG00000232810	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
NFKB1	ENSG00000109320	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
LRRK2	ENSG00000188906	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
PINK1	ENSG00000158828	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
PRKN	ENSG00000185345	ensembl_gene_id	curated_human_ensembl_symbol_mapping_for_neurofate_axis_panel
